yearID,round,teamIDwinner,lgIDwinner,teamIDloser,lgIDloser,wins,losses,ties
2022,ALDS1,NYA,AL,CLE,AL,3,2,0
2022,ALDS2,HOU,AL,SEA,AL,3,0,0
2022,NLDS1,PHI,NL,ATL,NL,3,1,0
2022,NLDS2,SDN,NL,LAN,NL,3,1,0
2022,ALCS,HOU,AL,NYA,AL,4,0,0
2022,NLCS,PHI,NL,SDN,NL,4,1,0
2022,WS,HOU,NL,PHI,NL,4,2,0
2023,ALWC1,TEX,AL,TBA,AL,2,0,0
2023,ALWC2,MIN,AL,TOR,AL,2,0,0
2023,NLWC1,ARI,NL,MIL,NL,2,0,0
2023,NLWC2,PHI,NL,MIA,NL,2,0,0
2023,ALDS1,TEX,AL,BAL,AL,3,0,0
2023,ALDS2,HOU,AL,MIN,AL,3,1,0
2023,NLDS1,PHI,NL,ATL,NL,3,1,0
2023,NLDS2,ARI,NL,LAN,NL,3,0,0
2023,ALCS,TEX,AL,HOU,AL,4,3,0
2023,NLCS,ARI,NL,PHI,NL,4,3,0
2023,WS,TEX,AL,ARI,NL,4,1,0
2024,ALWC1,DET,AL,HOU,AL,2,0,0
2024,ALWC2,KCA,AL,BAL,AL,2,0,0
2024,NLWC1,NYN,NL,MIL,NL,2,1,0
2024,NLWC2,SDN,NL,ATL,NL,2,0,0
2024,ALDS1,CLE,AL,DET,AL,3,2,0
2024,ALDS2,NYA,AL,KCA,AL,3,1,0
2024,NLDS1,NYN,NL,PHI,NL,3,1,0
2024,NLDS2,LAN,NL,SDN,NL,3,2,0
2024,ALCS,NYA,AL,CLE,AL,4,1,0
2024,NLCS,LAN,NL,NYN,NL,4,2,0
2024,WS,LAN,NL,NYA,AL,4,1,0
