yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
2022,NLDS2,anderty01,LAN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ALDS2,andruel01,TEX,AL,5,22,1,4,0,0,0,1,0,1,0,4,0,0,0,0,0
2016,ALDS1,andruel01,TEX,AL,3,11,2,4,0,1,1,1,0,1,0,0,0,0,0,0,0
2018,ALWC,andujmi01,NYA,AL,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,ALDS1,andujmi01,NYA,AL,3,9,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1
2020,NLWC4,aquinar01,CIN,NL,1,6,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
2023,ALWC1,arandjo01,TBA,AL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,NLDS1,arciaor01,MIL,NL,3,8,2,2,0,0,1,1,0,0,0,2,0,0,0,0,0
2018,NLCS,arciaor01,MIL,NL,7,25,5,9,0,0,2,3,0,0,1,2,1,0,0,0,1
2019,NLWC,arciaor01,MIL,NL,1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,NLWC1,arciaor01,MIL,NL,2,7,1,1,0,0,1,2,0,0,0,4,0,0,0,0,0
2021,NLCS,arciaor01,ATL,NL,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,NLDS1,arciaor01,ATL,NL,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,WS,arciaor01,ATL,NL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLDS1,arciaor01,ATL,NL,4,10,1,3,0,0,1,1,0,0,2,2,0,0,0,0,0
2023,NLDS1,arciaor01,ATL,NL,4,13,0,2,0,0,0,1,0,0,1,4,0,0,0,0,0
2024,NLWC2,arciaor01,ATL,NL,2,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2017,NLWC,arenano01,COL,NL,1,5,2,1,0,0,1,1,0,0,0,1,0,0,0,0,0
2018,NLDS1,arenano01,COL,NL,3,11,0,2,0,0,0,1,0,0,0,5,0,0,0,1,0
2018,NLWC,arenano01,COL,NL,1,5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2021,NLWC,arenano01,SLN,NL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,NLWC2,arenano01,SLN,NL,2,8,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
2022,ALDS1,ariasga01,CLE,AL,3,11,1,3,1,0,0,0,0,0,0,5,0,0,0,0,1
2022,ALWC1,armstsh01,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,ALWC1,armstsh01,TBA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,NLCS,arozara01,SLN,NL,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
2019,NLDS2,arozara01,SLN,NL,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020,ALCS,arozara01,TBA,AL,7,28,6,9,1,0,4,6,0,0,2,10,1,0,0,0,0
2020,ALWC1,arozara01,TBA,AL,2,8,3,4,2,1,0,1,0,1,1,1,0,0,0,0,0
2020,ALDS1,arozara01,TBA,AL,5,19,5,8,0,0,3,3,0,0,1,4,0,1,0,0,0
2020,WS,arozara01,TBA,AL,6,22,5,8,0,0,3,4,0,1,4,4,1,0,0,0,2
2021,ALDS2,arozara01,TBA,AL,4,15,4,5,1,0,1,3,2,0,4,4,0,0,0,0,0
