playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
fairbpe01,2020,ALDS1,TBA,AL,0,0,2,0,0,0,1,9,2,1,0,3,5,0.182,3,0,0,0,0,14,1,1,0,0,0
fairbpe01,2020,ALWC1,TBA,AL,0,0,1,0,0,0,1,3,1,0,0,0,2,0.25,0,0,1,0,0,4,1,0,0,0,0
fairbpe01,2020,WS,TBA,AL,0,0,3,0,0,0,0,12,6,3,2,2,4,0.353,6.75,1,1,0,0,19,0,3,0,0,0
fairbpe01,2021,ALDS2,TBA,AL,0,0,2,0,0,0,0,8,1,1,1,1,2,0.125,3.38,0,0,0,0,9,0,1,0,0,1
fairbpe01,2022,ALWC1,TBA,AL,0,0,1,0,0,0,0,0,0,0,0,2,0,,,0,0,0,0,2,0,0,0,0,0
falteba01,2022,NLCS,PHI,NL,0,0,1,1,0,0,0,2,3,4,1,1,0,0.6,54,0,0,0,0,6,0,4,0,0,0
familje01,2015,NLCS,NYN,NL,0,0,4,0,0,0,3,13,2,0,0,2,3,0.133,0,0,0,0,0,17,4,0,0,0,0
familje01,2015,NLDS2,NYN,NL,0,0,4,0,0,0,2,16,0,0,0,0,3,0,0,0,0,0,0,16,4,0,0,0,0
familje01,2015,WS,NYN,NL,0,0,4,0,0,0,0,15,3,1,1,0,3,0.167,1.8,0,0,0,0,18,1,2,0,0,1
familje01,2016,NLWC,NYN,NL,0,1,1,0,0,0,0,3,2,3,1,1,1,0.4,27,0,0,0,0,6,1,3,0,0,0
familje01,2018,ALWC,OAK,AL,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0
ferguca01,2018,NLCS,LAN,NL,0,0,4,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0
ferguca01,2018,NLDS2,LAN,NL,0,0,2,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0
ferguca01,2023,NLDS2,LAN,NL,0,0,2,0,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,8,1,0,0,0,0
ferguca01,2024,ALWC1,HOU,AL,0,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
