playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
marquge01,2022,1,COL,NL,31,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marquge01,2023,1,COL,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marquge01,2024,1,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marquja01,2015,1,CIN,NL,10,,16,2,3,1,0,0,1,0,0,0,4,0,0,1,0,0,
marrech01,2017,1,SFN,NL,15,,38,2,5,0,0,1,5,0,0,2,9,0,0,0,1,4,
marrede01,2015,1,BOS,AL,25,,53,8,12,0,0,1,3,2,1,3,19,0,0,0,0,0,
marrede01,2016,1,BOS,AL,13,,12,0,1,0,0,0,0,0,0,2,5,0,0,0,0,0,
marrede01,2017,1,BOS,AL,71,,171,32,36,9,0,4,27,5,0,12,61,0,0,3,2,8,
marrede01,2018,1,ARI,NL,49,,78,11,13,1,1,0,7,3,0,6,23,0,0,0,1,5,
marrede01,2019,1,MIA,NL,5,,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
marrede01,2021,1,MIA,NL,10,,16,4,3,0,0,1,1,1,0,3,6,0,0,0,0,2,
marrede01,2022,1,NYN,NL,5,,6,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,
marshal01,2023,1,KCA,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshal01,2024,1,KCA,AL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshbr02,2021,1,LAA,AL,70,,236,27,60,12,3,2,19,6,1,20,91,0,2,1,1,3,
marshbr02,2022,1,LAA,AL,93,,292,34,66,9,2,8,37,8,2,22,117,1,3,3,3,2,
marshbr02,2022,2,PHI,NL,41,,132,15,38,9,2,3,15,2,2,6,41,0,0,0,0,2,
marshbr02,2023,1,PHI,NL,133,133,404,58,112,25,6,12,60,10,2,59,144,2,4,1,4,4,
marshbr02,2024,1,PHI,NL,135,135,418,55,104,17,3,16,60,19,3,50,154,0,2,1,5,2,0
marshev01,2015,1,ARI,NL,13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2016,1,ARI,NL,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2017,1,SEA,AL,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2018,1,CLE,AL,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2019,1,CHA,AL,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2020,1,CHA,AL,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marshev01,2021,1,CHA,AL,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marteal01,2015,1,LAA,AL,5,,6,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,
martefr01,2017,1,HOU,AL,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
marteje01,2015,1,DET,AL,33,,80,9,17,4,0,4,11,0,0,8,22,0,0,2,0,2,
marteje01,2016,1,LAA,AL,88,,258,38,65,14,0,15,44,2,2,18,59,0,5,0,3,8,
marteje01,2017,1,LAA,AL,45,,127,10,22,5,0,4,14,1,0,13,34,0,4,0,1,2,
marteje01,2018,1,LAA,AL,90,,194,28,42,7,1,7,22,1,1,13,41,0,2,0,0,6,
martejo01,2021,1,LAA,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martejo01,2022,1,LAA,AL,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martejo01,2023,1,LAA,AL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
martejo01,2024,1,LAA,AL,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marteke01,2015,1,SEA,AL,57,,219,25,62,14,3,2,17,8,4,24,43,0,0,2,2,1,
marteke01,2016,1,SEA,AL,119,,437,55,113,21,2,1,33,11,5,18,84,0,2,3,6,10,
marteke01,2017,1,ARI,NL,73,,223,30,58,11,2,5,18,3,1,29,37,3,1,0,2,3,
marteke01,2018,1,ARI,NL,153,,520,68,135,26,12,14,59,6,1,54,79,3,3,1,2,12,
marteke01,2019,1,ARI,NL,144,,569,97,187,36,9,32,92,10,2,53,86,2,4,0,2,7,
marteke01,2020,1,ARI,NL,45,,181,19,52,14,1,2,17,1,0,7,21,0,4,0,3,2,
marteke01,2021,1,ARI,NL,90,,340,52,108,29,1,14,50,2,0,31,60,3,2,0,1,8,
