yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2021,AL,OAK,OAK01,2021-04-01,2021-09-26,81,80,701430
2022,AL,OAK,OAK01,2022-04-18,2022-10-05,80,79,787902
2023,AL,OAK,OAK01,2023-03-30,2023-09-24,81,81,832352
2024,AL,OAK,OAK01,2024-03-28,2024-09-26,81,80,922286
2015,NL,PHI,PHI13,2015-04-06,2015-10-04,81,78,1831080
2016,NL,PHI,PHI13,2016-04-11,2016-10-02,81,81,1915144
2017,NL,PHI,PHI13,2017-04-07,2017-10-01,81,79,1905354
2018,NL,PHI,PHI13,2018-04-05,2018-09-30,80,78,2155695
2018,NL,PHI,WIL02,2018-08-19,2018-08-19,1,1,2429
2019,NL,PHI,PHI13,2019-03-28,2019-09-29,81,81,2727421
2020,NL,PHI,PHI13,2020-07-24,2020-09-20,32,0,0
2021,NL,PHI,PHI13,2021-04-01,2021-09-26,81,79,1515890
2022,NL,PHI,PHI13,2022-04-08,2022-09-25,81,80,2276736
2023,NL,PHI,PHI13,2023-04-07,2023-09-28,81,80,3052605
2024,NL,PHI,PHI13,2024-03-29,2024-09-25,80,80,3308638
2024,NL,PHI,LON01,2024-06-09,2024-06-09,1,1,55074
2015,NL,PIT,PIT08,2015-04-13,2015-10-04,81,81,2498596
2016,NL,PIT,PIT08,2016-04-03,2016-09-29,81,80,2249201
2017,NL,PIT,PIT08,2017-04-07,2017-09-27,80,80,1916851
2017,NL,PIT,WIL02,2017-08-20,2017-08-20,1,1,2596
2018,NL,PIT,PIT08,2018-04-02,2018-09-23,80,78,1465316
2019,NL,PIT,PIT08,2019-04-01,2019-09-29,80,80,1488936
2019,NL,PIT,WIL02,2019-08-18,2019-08-18,1,1,2503
2020,NL,PIT,PIT08,2020-07-27,2020-09-24,32,0,0
2021,NL,PIT,PIT08,2021-04-08,2021-10-03,81,81,859498
2022,NL,PIT,PIT08,2022-04-12,2022-10-05,81,81,1257458
2023,NL,PIT,PIT08,2023-04-07,2023-10-01,81,81,1630624
2024,NL,PIT,PIT08,2024-04-05,2024-09-26,81,81,1720361
2015,NL,SDN,SAN02,2015-04-09,2015-10-01,81,81,2459752
2016,NL,SDN,SAN02,2016-04-04,2016-09-29,81,81,2351422
2017,NL,SDN,SAN02,2017-04-07,2017-09-24,81,81,2138491
2018,NL,SDN,MNT01,2018-05-04,2018-05-06,3,3,65116
2018,NL,SDN,SAN02,2018-03-29,2018-09-30,78,78,2103420
2019,NL,SDN,SAN02,2019-03-28,2019-09-26,81,81,2396399
2020,NL,SDN,SAN02,2020-07-24,2020-09-23,32,0,0
2021,NL,SDN,SAN02,2021-04-01,2021-09-26,81,81,2191950
2022,NL,SDN,SAN02,2022-04-14,2022-10-05,81,81,2987470
2023,NL,SDN,MEX02,2023-04-29,2023-04-30,2,2,39244
2023,NL,SDN,SAN02,2023-03-30,2023-09-24,79,79,3232310
2024,NL,SDN,SAN02,2024-03-28,2024-09-22,80,80,3314593
2024,NL,SDN,SEO01,2024-03-20,2024-03-20,1,1,15952
2015,AL,SEA,SEA03,2015-04-06,2015-10-04,81,81,2193581
2016,AL,SEA,SEA03,2016-04-08,2016-10-02,81,81,2267928
2017,AL,SEA,SEA03,2017-04-10,2017-09-24,81,81,2135445
2018,AL,SEA,SEA03,2018-03-29,2018-09-30,81,81,2299489
2019,AL,SEA,SEA03,2019-03-28,2019-09-29,81,81,1791109
2020,AL,SEA,SEA03,2020-07-31,2020-09-23,24,0,0
2021,AL,SEA,SEA03,2021-04-01,2021-10-03,81,81,1215985
2022,AL,SEA,SEA03,2022-04-15,2022-10-05,81,80,2287267
2023,AL,SEA,SEA03,2023-03-30,2023-10-01,81,81,2690418
2024,AL,SEA,SEA03,2024-03-28,2024-09-29,81,81,2555813
2015,NL,SFN,SFO03,2015-04-13,2015-10-04,81,81,3375882
2016,NL,SFN,SFO03,2016-04-07,2016-10-02,81,81,3365256
2017,NL,SFN,SFO03,2017-04-10,2017-10-01,81,81,3303652
2018,NL,SFN,SFO03,2018-04-03,2018-09-30,81,81,3156185
2019,NL,SFN,SFO03,2019-04-05,2019-09-29,81,81,2707760
2020,NL,SFN,SFO03,2020-07-28,2020-09-27,33,0,0
2021,NL,SFN,SFO03,2021-04-09,2021-10-03,81,81,1679484
