playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
alvarjo03,2024,PHI,NL,NLDS1,P,1,0,2,0,0,0,0,,,,
alvarpe01,2015,PIT,NL,NLWC,1B,1,0,18,3,1,0,0,0,,,
alvaryo01,2019,HOU,AL,WS,LF,1,1,18,1,0,0,0,0,,,
alvaryo01,2021,HOU,AL,ALCS,LF,1,1,27,0,0,0,0,0,,,
alvaryo01,2021,HOU,AL,ALDS1,LF,1,1,27,1,0,0,0,0,,,
alvaryo01,2021,HOU,AL,WS,LF,3,3,69,5,0,0,0,0,,,
alvaryo01,2022,HOU,AL,ALCS,LF,3,3,81,2,0,0,0,0,,,
alvaryo01,2022,HOU,AL,ALDS2,LF,3,3,105,5,1,0,0,0,,,
alvaryo01,2022,HOU,AL,WS,LF,4,4,108,6,0,0,0,0,,,
alvaryo01,2023,HOU,AL,ALDS2,LF,1,1,27,1,0,0,0,0,,,
anderbr04,2015,LAN,NL,NLDS2,P,1,1,9,0,1,0,0,0,,,
anderbr06,2020,MIA,NL,NLDS2,3B,3,3,75,2,5,1,0,0,,,
anderbr06,2020,MIA,NL,NLWC3,3B,2,2,54,1,2,0,0,0,,,
anderia01,2020,ATL,NL,NLCS,P,2,2,21,1,0,0,0,0,,,
anderia01,2020,ATL,NL,NLDS2,P,1,1,17,0,0,0,0,0,,,
anderia01,2020,ATL,NL,NLWC4,P,1,1,18,0,0,0,0,0,,,
anderia01,2021,ATL,NL,NLCS,P,2,2,21,0,1,0,0,0,,,
anderia01,2021,ATL,NL,NLDS1,P,1,1,15,0,0,0,0,0,,,
anderia01,2021,ATL,NL,WS,P,1,1,15,0,2,0,1,0,,,
anderni01,2019,TBA,AL,ALDS1,P,3,0,13,0,1,0,0,0,,,
anderni01,2019,TBA,AL,ALWC,P,1,0,4,0,0,0,0,0,,,
anderni01,2020,TBA,AL,ALCS,P,3,0,13,0,0,0,0,0,,,
anderni01,2020,TBA,AL,ALDS1,P,2,0,14,0,0,0,0,0,,,
anderni01,2020,TBA,AL,ALWC1,P,2,0,8,0,0,0,0,0,,,
anderni01,2020,TBA,AL,WS,P,3,0,9,0,0,0,0,0,,,
anderti01,2020,CHA,AL,ALWC4,SS,3,3,75,4,9,0,1,0,,,
anderti01,2021,CHA,AL,ALDS1,SS,4,4,102,5,5,1,0,0,,,
anderty01,2017,COL,NL,NLWC,P,1,0,3,0,0,0,0,0,,,
anderty01,2018,COL,NL,NLDS1,P,1,1,18,0,1,0,0,0,,,
anderty01,2022,LAN,NL,NLDS2,P,1,1,15,0,1,0,0,0,,,
andruel01,2015,TEX,AL,ALDS2,SS,5,5,147,13,11,2,3,0,,,
andruel01,2016,TEX,AL,ALDS1,SS,3,3,83,9,13,1,2,0,,,
andujmi01,2018,NYA,AL,ALDS1,3B,3,3,66,1,6,0,0,0,,,
andujmi01,2018,NYA,AL,ALWC,3B,1,1,15,0,1,1,0,0,,,
